dnum,sales,pool,ev_expost,ev_exante
2013121,337100116,60671480,4.6168,-1.7292
2013122,345544080,75670240,4.6380,-1.7169
2013123,385822278,86159328,4.7363,-1.7164
2013124,347249642,107102896,4.6597,-1.7168
2013125,372984566,123047728,4.8224,-1.5045
2013126,408866622,162711340,5.1066,-1.4018
2013127,376726836,197309615,5.0238,-1.3350
2013128,381844688,201975928,4.8437,-1.5204
2013129,418710844,262553088,5.1783,-1.2932
2013130,385080972,256689792,4.8897,-1.5675
2013131,388319260,199798632,4.7040,-1.6442
2013132,420848208,124670825,4.7133,-1.6494
2013133,361709328,119827596,4.7655,-1.5663
2013134,372289714,82346272,4.7800,-1.6670
2013135,406720240,139074525,4.8770,-1.6035
2013136,369164734,116962560,4.7585,-1.5987
2013137,379293130,51312261,4.6031,-1.7968
2013138,402650432,74254260,4.7225,-1.7224
2013139,372082440,30000000,4.5721,-1.8786
2013140,359556480,76786944,4.8366,-1.6784
2013141,409703546,30000000,4.4881,-1.8900
2013142,356100256,63900184,4.7976,-1.7293
2013143,364973022,82747368,4.8095,-1.6584
2013144,406764784,99467508,4.6391,-1.6703
2013145,364933776,92904565,4.6346,-1.6738
2013146,404451866,162543128,4.8640,-1.5755
2013147,400947352,117026496,4.7600,-1.6297
2013148,354333120,154199665,5.1584,-1.3455
2013149,369490424,155929878,4.8845,-1.5366
2013150,409001896,188178865,5.1857,-1.3447
2013151,376460226,30000000,4.5317,-1.8803
2013152,353968798,30000000,4.4403,-1.8724
2013153,394373774,76364070,4.8346,-1.7081
2013154,382836786,69636912,4.6831,-1.7262
2014001,371341368,136130274,4.7144,-1.7165
2014002,408021124,157176954,4.9407,-1.5244
2014003,363993362,169237320,4.8053,-1.5587
2014004,373155800,201488460,5.0175,-1.4577
2014005,414088906,237244320,5.1828,-1.4680
2014006,369941458,30000000,4.5254,-1.8779
2014007,346606050,58697890,4.6185,-1.7452
2014008,392135484,99040432,4.6560,-1.7169
2014009,348408848,127264176,4.5940,-1.7172
2014010,359922428,168977284,4.8920,-1.4350
2014011,400827700,185230836,4.8839,-1.5513
2014012,364615256,193817286,4.8950,-1.5711
2014013,447850102,174532572,4.7412,-1.6404
2014014,340281006,174399960,4.8122,-1.6039
2014015,345827928,153702230,4.7446,-1.6463
2014016,394728698,189407019,5.0088,-1.4343
2014017,354286552,89220000,4.5665,-1.6989
2014018,366787508,152153450,5.1272,-1.7138
2014019,409381396,149062025,4.7178,-1.6183
2014020,369800298,195215928,5.0488,-1.4340
2014021,376012996,190297125,4.7733,-1.6162
2014022,422477050,208621864,4.9356,-1.5518
2014023,379325720,192597457,4.7265,-1.6319
2014024,380942014,102252288,4.5819,-1.6896
2014025,420328670,176129274,5.1764,-1.4335
2014026,376888174,234682846,4.9950,-1.4344
2014027,384105632,301167546,5.2022,-1.4331
2014028,435709368,309604392,4.9801,-1.5793
2014029,396072528,335945528,4.9349,-1.5292
2014030,396594924,343001056,4.7494,-1.5844
2014031,443595958,331429504,4.6927,-1.6208
2014032,397424848,363106803,5.0219,-1.4343
2014033,403193612,319148956,4.6250,-1.6629
2014034,432189956,242743280,4.6459,-1.6906
2014035,385901784,239056900,4.7245,-1.6126
2014036,378585748,115259940,4.5594,-1.6979
2014037,385617546,64542096,4.6274,-1.7485
2014038,356364376,95544036,4.7501,-1.7162
2014039,363687932,140977080,4.5950,-1.7172
2014040,406009192,129726387,4.7304,-1.6324
2014041,365242842,180069774,5.0583,-1.4339
2014042,373018334,267308119,4.5712,-1.4335
2014043,415843112,210637936,4.6351,-1.6844
2014044,373074342,234600372,4.9140,-1.4687
2014045,375431708,173383408,4.7454,-1.6666
2014046,407325576,151808850,4.6852,-1.6530
2014047,367083108,175063188,4.8192,-1.5167
2014048,328158768,167548980,4.7009,-1.6212
2014049,395100460,138239115,4.7023,-1.6483
2014050,356974970,153092388,4.8652,-1.5478
2014051,355097144,172124407,5.0737,-1.5410
2014052,388520458,130683658,4.6432,-1.6712
2014053,357050160,192683993,5.1104,-1.4335
2014054,362404232,163007572,4.6286,-1.6524
2014055,399255230,166904832,4.7341,-1.6045
2014056,355820816,189835134,4.8568,-1.5357
2014057,357051002,211270800,4.8928,-1.5405
2014058,395239936,35549494,4.5353,-1.8649
2014059,332914310,33384288,4.6014,-1.8489
2014060,332537430,77191491,4.5900,-1.7172
2014061,348086982,63402256,4.5907,-1.7262
2014062,324555900,30000000,4.3267,-1.9119
2014063,318559312,55534992,4.5843,-1.7379
2014064,362553032,51701734,4.5668,-1.7857
2014065,331291864,50353786,4.6496,-1.7709
2014066,326106482,117743004,4.7629,-1.7159
2014067,369752334,91365232,4.6721,-1.6484
2014068,333498724,162571614,4.7011,-1.7164
2014069,344427596,144097840,4.6221,-1.6528
2014070,381932126,46472150,4.5771,-1.8171
2014071,332837230,30000000,4.4286,-1.8645
2014072,324184472,92535036,4.7081,-1.7163
2014073,368813894,158150815,4.8254,-1.7158
2014074,333005878,211476892,4.9869,-1.4342
2014075,341705034,133787352,4.6342,-1.6810
2014076,375634222,177753477,5.0585,-1.4340
2014077,335080206,174008032,4.6944,-1.6241
2014078,340877252,169313373,4.7321,-1.6250
2014079,371546996,198155300,4.8351,-1.5298
2014080,339602048,251469908,4.8542,-1.4352
2014081,345588442,275196240,4.9204,-1.5325
2014082,376072870,297439788,4.9038,-1.5378
2014083,342671260,316186254,4.8374,-1.5500
2014084,348439746,324879900,4.7732,-1.5846
2014085,383964576,300168090,4.7531,-1.6479
2014086,342885520,321991524,4.8146,-1.5397
2014087,346294212,341554266,4.8855,-1.5469
2014088,378895304,380020836,5.0053,-1.4343
2014089,349996988,327508140,4.5922,-1.6867
2014090,361007810,285022119,4.6344,-1.6660
2014091,395683536,312855494,4.8493,-1.5327
2014092,355694942,308790808,4.6687,-1.6252
2014093,361310882,207035236,4.5384,-1.7059
2014094,394513356,273173708,5.0915,-1.4338
2014095,348187212,279324805,4.7190,-1.5894
2014096,357432576,312395240,5.0114,-1.4440
2014097,390727104,369675882,4.9503,-1.4347
2014098,353151800,392834215,4.9400,-1.5186
2014099,358086522,432609020,5.2628,-1.4325
2014100,401949134,472918194,5.0043,-1.4344
2014101,359712392,529892270,5.1399,-1.4333
2014102,368749750,582985842,5.0770,-1.4338
2014103,396768732,589633520,4.7217,-1.5976
2014104,358170510,624461375,4.8092,-1.4719
2014105,379715550,662968446,5.1294,-1.4811
2014106,422052940,718893160,5.0022,-1.4345
2014107,387176276,752252140,4.9332,-1.4772
2014108,393047674,735850612,4.6381,-1.6389
2014109,437600916,732608704,4.6973,-1.6189
2014110,384948858,759917456,4.8717,-1.4744
2014111,391471380,809720000,5.1113,-1.4337
2014112,438774340,754185552,4.5959,-1.6861
2014113,376332046,794394502,5.0624,-1.4339
2014114,336622164,803604936,4.8272,-1.5667
2014115,393986920,329463486,4.6465,-1.7054
2014116,355472106,349707904,4.7865,-1.5624
2014117,376251864,364535919,4.7110,-1.5810
2014118,412610364,348405240,4.6513,-1.6369
2014119,374297910,293508896,4.6039,-1.6852
2014120,380941988,236996485,4.6139,-1.6653
2014121,414246034,216715500,4.6560,-1.6425
2014122,372450634,178571232,4.6587,-1.6635
2014123,374248054,66611994,4.5673,-1.7328
2014124,414603564,149338971,5.0728,-1.5276
2014125,369171242,177881270,5.0796,-1.3837
2014126,374635140,92547000,4.6115,-1.6573
2014127,405427926,71262030,4.6196,-1.7359
2014128,358520804,87337680,4.6618,-1.6607
2014129,359082268,127351182,4.6846,-1.6365
2014130,402591108,176970840,5.2637,-1.3389
2014131,396591384,211523816,4.9131,-1.4326
2014132,372487192,215841500,4.8742,-1.4838
2014133,417287906,245415332,5.0497,-1.3216
2014134,374813426,279769385,5.0009,-1.4326
2014135,380304722,332494676,5.0496,-1.2938
2014136,419949224,405577188,5.2753,-1.1524
2014137,377779080,296658774,4.5979,-1.6664
2014138,379450576,333290635,5.0557,-1.3509
2014139,416872552,340012160,4.8885,-1.5438
2014140,369928040,355086600,4.9302,-1.4395
2014141,374573402,298381028,4.6992,-1.6417
2014142,419262206,343788680,5.1659,-1.3213
2014143,375707362,323244502,4.7111,-1.6044
2014144,379438954,350262546,4.9057,-1.4281
2014145,428104998,359386704,4.8345,-1.5309
2014146,383982986,428190888,5.2508,-1.2459
2014147,385071740,460352344,5.1262,-1.3078
2014148,425097618,479691558,4.8973,-1.5074
2014149,386664128,562421886,5.2543,-1.1524
2014150,393965122,557171217,4.7501,-1.5639
2014151,436728282,521118039,4.6480,-1.6284
2014152,403970126,504014400,4.7888,-1.5965
2015001,389811558,512536696,4.8461,-1.5219
2015002,445131362,504837957,4.7806,-1.5832
2015003,389418150,529251380,5.0114,-1.4010
2015004,391871604,551117080,5.0216,-1.4113
2015005,434233966,589772988,4.9978,-1.4202
2015006,381704996,613260305,4.8981,-1.4649
2015007,396557494,615032608,4.8468,-1.5392
2015008,441162104,641915910,4.9402,-1.4284
2015009,406130598,642387330,4.7958,-1.5702
2015010,408876968,650777351,4.9236,-1.5088
2015011,448888738,710557160,5.2065,-1.3212
2015012,370574586,649012056,4.7279,-1.6742
2015013,371312910,649780284,4.7565,-1.6130
2015014,413004748,305609400,4.5159,-1.7133
2015015,369504840,325790184,4.8788,-1.5449
2015016,370190678,326819010,4.8110,-1.6118
2015017,405548808,357142667,5.0375,-1.5243
2015018,356589678,343063140,4.6422,-1.6437
2015019,363865754,337065060,4.6916,-1.6249
2015020,404738304,359013634,4.7939,-1.5502
2015021,369500210,311412624,4.6281,-1.6757
2015022,428626486,333076429,4.7579,-1.5512
2015023,371421794,344102175,4.7021,-1.5896
2015024,297320432,361697874,4.8852,-1.5533
2015025,301966294,428205689,4.4304,-1.4340
2015026,346132854,399549056,4.7184,-1.6510
2015027,313056664,269549046,4.5068,-1.7178
2015028,318360502,282421976,4.7070,-1.5817
2015029,350574266,290603075,4.7808,-1.5902
2015030,313853770,308254584,4.8410,-1.5535
2015031,322648288,301014330,4.7351,-1.6290
2015032,356881788,322806048,4.8822,-1.5394
2015033,316147976,350190906,4.9277,-1.4346
2015034,319035578,372366860,4.7857,-1.5236
2015035,354232116,356011799,4.6613,-1.6405
2015036,314978372,385090460,4.8942,-1.4946
2015037,311121894,456745930,4.3067,-1.4350
2015038,330881502,521569463,5.0445,-1.4338
2015039,304495842,527688511,4.8084,-1.5958
2015040,320385120,560707072,5.1515,-1.4431
2015041,355451862,505889468,4.5896,-1.6811
2015042,328582874,445522068,4.6181,-1.6835
2015043,333265010,437343962,4.8620,-1.6286
2015044,361973072,236303584,4.5535,-1.7087
2015045,317791860,244649655,4.7552,-1.5801
2015046,324849386,300076800,5.0466,-1.4338
2015047,353219880,259871028,4.6476,-1.6832
2015048,314318648,222018030,4.7158,-1.6737
2015049,304091626,213425469,4.7535,-1.6335
2015050,330490908,231625820,4.8770,-1.5206
2015051,311895918,252880206,4.8801,-1.4689
2015052,312855530,203256114,4.7046,-1.6739
2015053,337772948,209305224,4.6923,-1.6009
2015054,305342532,196780010,4.7545,-1.6396
2015055,308523870,208855998,4.8044,-1.5727
2015056,333455694,224467579,4.8124,-1.5683
2015057,298048220,254227996,5.0345,-1.4604
2015058,302422308,255306348,4.6842,-1.6122
2015059,327035284,311068287,5.1620,-1.4329
2015060,294398362,325336905,4.8617,-1.5551
2015061,300873544,366514881,5.0288,-1.4338
2015062,323470788,420456986,5.0210,-1.4339
2015063,291740962,425356078,4.7026,-1.6002
2015064,298850352,437144743,4.7493,-1.5798
2015065,326011866,456496222,4.8257,-1.5573
2015066,295073100,475169355,4.7469,-1.5381
2015067,296388770,460773196,4.7011,-1.6370
2015068,326767662,465249696,4.7069,-1.6031
2015069,292089158,470825144,4.7810,-1.5996
2015070,294607168,497421825,4.9026,-1.5046
2015071,308073950,440046866,4.5604,-1.6990
2015072,293363242,453763345,4.8423,-1.5575
2015073,293054328,471257280,4.8349,-1.5422
2015074,320107256,513223352,5.0052,-1.4340
2015075,292719690,565604258,5.0160,-1.4338
2015076,294088268,493791571,4.5480,-1.7017
2015077,324775100,543815196,5.1423,-1.4331
2015078,291936416,577316625,4.9128,-1.4346
2015079,291775556,496467738,4.5346,-1.7072
2015080,314150596,523386294,4.8759,-1.5218
2015081,278500218,532076736,4.8742,-1.5835
2015082,288017344,523423566,4.6594,-1.6441
2015083,315704384,479827975,4.6195,-1.6673
2015084,281884996,524697570,5.0492,-1.4335
2015085,285325214,562393449,4.9749,-1.4341
2015086,308129834,566691000,4.7338,-1.5997
2015087,280174514,610880852,4.8963,-1.4347
2015088,287667610,582193066,4.8998,-1.6577
2015089,311873350,625139856,5.0029,-1.4340
2015090,282983042,680071900,5.2067,-1.4321
2015091,285818388,705046588,4.8973,-1.4857
2015092,318089362,735532810,4.7889,-1.4897
2015093,292493392,742351320,4.7457,-1.5794
2015094,295713760,746713280,4.7552,-1.5963
2015095,325059832,772938425,4.9713,-1.5057
2015096,294260644,755803560,4.6956,-1.6494
2015097,298570222,741136594,4.5958,-1.6424
2015098,329104206,792540978,4.9423,-1.4345
2015099,297598058,792191150,4.7071,-1.6158
2015100,302573068,821878422,4.9149,-1.4347
2015101,333057658,817471200,4.6960,-1.6258
2015102,300065068,813396960,4.6629,-1.6314
2015103,284270680,837110700,4.8745,-1.4521
2015104,332604432,920084183,4.4887,-1.4338
2015105,304229202,895314612,4.6373,-1.6570
2015106,305793682,910114980,4.8602,-1.5630
2015107,337547646,911942185,4.7573,-1.6088
2015108,309769258,907674399,4.7099,-1.6241
2015109,317531670,929816615,4.8358,-1.5491
2015110,340689020,921225536,4.6828,-1.6306
2015111,307364620,936577124,4.7858,-1.5692
2015112,306859802,952587008,4.7964,-1.5323
2015113,337101348,974660050,4.7931,-1.5497
2015114,297013542,952803917,4.6339,-1.6492
2015115,275624372,911942840,4.5513,-1.6988
2015116,298345670,923015828,4.7527,-1.5819
2015117,276307776,954935922,4.9894,-1.4339
2015118,302094780,950170804,4.9671,-1.6212
2015119,336177996,958500564,4.7645,-1.5858
2015120,306978816,1007024322,4.9053,-1.4347
2015121,311696404,1040297060,5.0721,-1.4423
2015122,340964698,989011240,4.5696,-1.6901
2015123,312976520,992135264,4.6754,-1.6067
2015124,314656346,987064991,4.7591,-1.6235
2015125,342693238,990620057,4.8298,-1.6033
2015126,321292184,978661552,4.9213,-1.3550
2015127,323385694,924043914,4.8207,-1.5354
2015128,353929358,889484982,4.6659,-1.6563
2015129,330274852,934367160,5.2161,-1.1525
2015130,329910968,957074000,5.0822,-1.2392
2015131,352871146,971589906,5.1196,-1.2893
2015132,324697916,991052692,5.2346,-1.2739
2015133,318320120,1037218347,5.3416,-1.1515
2015134,359304970,1078946224,5.1825,-1.1528
2015135,323653256,1085902032,5.0776,-1.3081
2015136,332169672,1134489732,5.1872,-1.1527
2015137,357991902,1183970392,5.3310,-1.1518
2015138,317036346,1160191307,4.9534,-1.3766
2015139,323569236,1158957645,4.9819,-1.3374
2015140,363959858,1188582820,5.1685,-1.2105
2015141,329544366,1174709536,4.9090,-1.3682
2015142,326956020,1221938746,5.3535,-1.1515
2015143,363104978,1253527944,5.3105,-1.2230
2015144,330530758,1278764676,5.1660,-1.2454
2015145,327973844,1248915010,4.9508,-1.3761
